,Заголовок,Автор,Теги,Дата,Ссылка
21,TOП-10: разбор лучших докладов HolyJS 2017 Moscow,      olegchir    ,Блог компании JUG Ru Group Веб-дизайн *JavaScript *Node.JS *Конференции ,28  февраля  2018 в 13:45,https://habr.com/ru/company/jugru/blog/350164/
22,Веб скрапинг для веб разработчиков: краткое резюме,      DigitalSkynet    ,Программирование *Софт Изучение языков ,1  марта  2019 в 15:25,https://habr.com/ru/post/442258/
23,Микросервис на GO для граббинга видео из твитов,      SONANT    ,Программирование *Twitter API *Go *,1  марта  2019 в 16:14,https://habr.com/ru/post/442096/
24,Grab — python библиотека для парсинга сайтов,      itforge    ,Python *,2  сентября  2011 в 14:37,https://habr.com/ru/post/127584/
25,Измеряя Telegram,      devrazdev    ,Веб-аналитика *Интернет-маркетинг Повышение конверсии *Поисковая оптимизация ,14  июля  2017 в 15:41,https://habr.com/ru/post/333344/
26,OWASP Automated Threat: автоматизированные угрозы веб-приложений,      LukaSafonov    ,Блог компании OWASP Информационная безопасность *,22  февраля  2018 в 13:37,https://habr.com/ru/company/owasp/blog/349700/
27,"Парсим любой сайт за считанные секунды. Как достать нужную информацию с сайта используя Selenium, XPath и Proxy Sever",      Ermakov22    ,Google Chrome C# *Тестирование веб-сервисов *,21  августа  2020 в 15:13,https://habr.com/ru/post/516104/
28,Ещё один способ обновления торрентов,      walkmanake    ,Python *,10  января  2012 в 15:54,https://habr.com/ru/post/135874/
29,Разработка веб-приложений в PicoLisp,      mmans    ,Разработка веб-сайтов *Lisp *Функциональное программирование *,28  апреля  2013 в 16:51,https://habr.com/ru/post/178235/
30,Сервис Feed43 теперь говорит по-русски,      afan    ,Я пиарюсь ,22  августа  2008 в 15:34,https://habr.com/ru/post/37780/
31,Как использовать Python для «выпаса» ваших неструктурированных данных,      ph_piter    ,Блог компании Издательский дом «Питер» Python *Программирование *Data Mining *Профессиональная литература ,3  июня  2016 в 12:17,https://habr.com/ru/company/piter/blog/302520/
32,Скрапинг бесконечно прокручивающейся страницы,      kvothe    ,Python *Программирование *,16  октября  2016 в 22:15,https://habr.com/ru/post/312816/
33,Анализируй это. Mista.ru,      ildarchegg    ,Python *Data Mining *Big Data *Открытые данные *Google Cloud Platform *,29  января  2018 в 06:37,https://habr.com/ru/post/347096/
34,Подключаем онлайн-карты к навигатору на смартфоне. Часть 2 – векторные карты,      nnngrach    ,Google Chrome Node.JS *OpenStreetMap *Геоинформационные сервисы *,23  июля  2019 в 16:54,https://habr.com/ru/post/461053/
35,Подключаем онлайн-карты к навигатору на смартфоне. Часть 3 — OverpassTurbo,      nnngrach    ,Google Chrome Node.JS *OpenStreetMap *Геоинформационные сервисы *,23  июля  2019 в 18:31,https://habr.com/ru/post/461073/
36,Скрапинг Avito без headless-браузера,      Ash666    ,Python *API *,18  января   в 19:40,https://habr.com/ru/post/537834/
37,День открытых данных 2021. Онлайн,      xiunja    ,Блог компании «Информационная культура» Open source *OpenStreetMap *Открытые данные *Визуализация данных ,1  марта   в 19:43,https://habr.com/ru/company/infoculture/blog/544896/
38,Веб-скрейпинг на PHP,      AloneCoder    ,Блог компании Mail.ru Group PHP *Программирование *Тестирование веб-сервисов *,28  июня   в 15:21,https://habr.com/ru/company/mailru/blog/565028/
39,Учим робота готовить пиццу. Часть 1: Получаем данные,      noonv    ,Python *Data Mining *Машинное обучение *,11  августа  2017 в 16:19,https://habr.com/ru/post/335444/
40,"Конференция YAPC::Russia::MayPerl 2015 в Москве 16-17 мая, не пропусти",      Dzirtik    ,Блог компании Mail.ru Group Perl *,15  мая  2015 в 11:15,https://habr.com/ru/company/mailru/blog/257959/
41,Whois: практическое руководство пользователя,      arukraine    ,Разработка веб-сайтов *Python *,15  января  2013 в 13:20,https://habr.com/ru/post/165869/
42,"Python — помощник в поиске недорогих авиабилетов для тех, кто любит путешествовать",      ru_vds    ,Блог компании RUVDS.com Разработка веб-сайтов *Python *Хранение данных *,16  мая  2019 в 12:00,https://habr.com/ru/company/ruvds/blog/451872/
43,Книга «Прагматичный ИИ. Машинное обучение и облачные технологии»,      ph_piter    ,Блог компании Издательский дом «Питер» Python *Облачные вычисления *Профессиональная литература ,13  февраля  2019 в 12:52,https://habr.com/ru/company/piter/blog/439990/
44,Building client routing / semantic search at Profi.ru,      snakers4    ,Машинное обучение *Natural Language Processing *,3  ноября  2018 в 13:02,https://habr.com/ru/post/428674/
45,"Snoop Project невероятный инструмент интернет разведки, которого пользователи рунета ждали так долго — доступен",      ne555    ,Информационная безопасность *Поисковые технологии *Open source *Поисковая оптимизация ,14  февраля  2020 в 19:57,https://habr.com/ru/post/488432/
46,Ранжирование округов Москвы по стоимости аренды с Python,      kms_msk    ,Ненормальное программирование *Python *,26  марта  2020 в 13:53,https://habr.com/ru/post/494202/
47,Парсинг — это законно?,      Semin_Pavel    ,Законодательство в IT ,10  марта   в 15:01,https://habr.com/ru/post/545818/
48,"Как выбрать решение для парсинга сайтов: классификация и большой обзор программ, сервисов и фреймворков",      ellen_stepnaya    ,Разработка под e-commerce *Интернет-маркетинг ,1  октября  2020 в 17:17,https://habr.com/ru/post/521646/
49,RPA инструменты и не только…,      DmVlR    ,Тестирование IT-систем *Анализ и проектирование систем *Управление разработкой *Софт Визуальное программирование *,6  июня   в 15:15,https://habr.com/ru/post/561270/
50,Ключевые навыки Python-программиста,      Cuckoops    ,Python *Визуализация данных Исследования и прогнозы в IT Карьера в IT-индустрии ,7  мая  2020 в 18:51,https://habr.com/ru/post/500952/
51,Автоматизация ip-сети с помощью подручных инструментов (Python),      Lost63    ,Python *,30  июля  2015 в 16:00,https://habr.com/ru/post/263859/
52,Функционал современных систем защиты приложений (WAF) должен быть гораздо шире списка уязвимостей из OWASP Топ 10,      teleincom_admin    ,Информационная безопасность *Сетевые технологии *Сетевое оборудование ,19  ноября  2019 в 17:27,https://habr.com/ru/post/476490/
53,Несколько интересностей и полезностей для веб-разработчика #42,      ilusha_sergeevich    ,Разработка веб-сайтов *CSS *JavaScript *HTML *,20  апреля  2015 в 03:00,https://habr.com/ru/post/256117/
54,"Эволюция или делаем базу для роботележки на ARDUINO платформе, а сенсоры и видео гоним на компьютер через смартфон",      Tarson    ,Java *Разработка под Android *Разработка под Arduino *DIY или Сделай сам ,18  апреля  2019 в 01:32,https://habr.com/ru/post/448516/
55,Еще примеры использования R для решения практических бизнес-задач,      i_shutov    ,Data Mining *Big Data *R *,22  ноября  2016 в 17:24,https://habr.com/ru/post/315870/
56,Статистика по стоимости недвижимости — визуализация на карте,      dklmn    ,Data Mining *Геоинформационные сервисы *Визуализация данных ,22  марта  2017 в 16:09,https://habr.com/ru/post/324596/
57,Дайджест IT событий ноября (часть вторая),      ProductivityInside    ,Блог компании Productivity Inside Хакатоны Учебный процесс в IT Конференции ,21  ноября  2018 в 13:59,https://habr.com/ru/company/productivity_inside/blog/428588/
58,Internet Issues & Availability Report 2018–2019,      Shapelez    ,Блог компании Qrator Labs Информационная безопасность *Сетевые технологии *,12  февраля  2019 в 18:57,https://habr.com/ru/company/qrator/blog/440058/
59,Как E-commerce-площадкам противостоять ботнетам “AuthBots”?,      teleincom_admin    ,Информационная безопасность *Исследования и прогнозы в IT Управление e-commerce *,3  марта  2020 в 11:51,https://habr.com/ru/post/490816/
60,SSR для Bitrix с Vue.js без Nuxt.js: как не потерять поисковую индексацию,      ashutay    ,Блог компании Агентство AGIMA JavaScript *,вчера в 16:26,https://habr.com/ru/company/agima/blog/578056/
61,Coffee'n'Code в Харькове: Первая встреча,      Egiptyanin    ,Я пиарюсь ,15  сентября  2009 в 00:56,https://habr.com/ru/post/69654/
62,"Python-digest #34. Новости, интересные проекты, статьи и интервью [20 июля 2014 — 27 июля 2014]",      Dead_Angel    ,Python *,28  июля  2014 в 04:41,https://habr.com/ru/post/231255/
63,Веб-парсинг на Ruby,      tonymadbrain    ,Ruby *Программирование *,6  марта  2015 в 17:40,https://habr.com/ru/post/252379/
64,"PHP-Дайджест № 68 – интересные новости, материалы и инструменты (27 июля – 24 августа 2015)",      pronskiy    ,Блог компании Zfort Group Разработка веб-сайтов *PHP *,24  августа  2015 в 03:42,https://habr.com/ru/company/zfort/blog/265291/
65,Moscow Python Meetup №32,      ianbrode    ,Блог компании Rambler&Co ,4  февраля  2016 в 15:19,https://habr.com/ru/company/rambler_and_co/blog/276579/
66,Обзор материалов по машинному обучению (13 — 20 февраля 2017 года),      Alf162    ,Математика *Машинное обучение *,20  февраля  2017 в 10:19,https://habr.com/ru/post/322188/
67,"10 инструментов, позволяющих парсить информацию с веб-сайтов, включая цены конкурентов + правовая оценка для России",      makasin4ik    ,Я пиарюсь ,13  октября  2017 в 14:44,https://habr.com/ru/post/340038/
68,"Совмещение R и Python: зачем, когда и как?",      Efaldgent    ,Блог компании Open Data Science Python *Data Mining *Big Data *R *,8  ноября  2018 в 14:00,https://habr.com/ru/company/ods/blog/348260/
69,Apple Music для разработчика,      pavel_manylov    ,Разработка под iOS *Разработка мобильных приложений *API *,26  августа  2019 в 07:52,https://habr.com/ru/post/464811/
70,Парсинг сайта кинотеатра на Golang,      noorsoftprod    ,Go *,19  марта  2020 в 15:14,https://habr.com/ru/post/493088/
71,Качественные фиды на примере оценки OSINT-источников,      BiZone_team    ,Блог компании BI.ZONE Информационная безопасность *,13  августа   в 12:12,https://habr.com/ru/company/bizone/blog/572128/
72,Dashboard Postgresql Overview для postgres_exporter (Prometheus),      chemtech    ,Системное администрирование *PostgreSQL *SQL *Администрирование баз данных *DevOps *,13  мая  2020 в 10:29,https://habr.com/ru/post/501696/
73,Анализ TSDB в Prometheus 2,      polozad    ,Блог компании FUNCORP IT-инфраструктура *DevOps *,27  марта  2019 в 14:38,https://habr.com/ru/company/funcorp/blog/445370/
74,Writing billion songs with C# and Deep Learning,      lostmsu    ,.NET *Машинное обучение *Искусственный интеллект Будущее здесь ,24  мая  2019 в 01:14,https://habr.com/ru/post/453232/
75,Дружим Prometheus с Caché,      myardyas    ,Блог компании InterSystems Администрирование баз данных *,10  января  2017 в 13:40,https://habr.com/ru/company/intersystems/blog/318940/
76,Несколько интересностей и полезностей для веб-разработчика #44,      ilusha_sergeevich    ,Разработка веб-сайтов *CSS *JavaScript *HTML *,31  мая  2015 в 23:35,https://habr.com/ru/post/258977/
77,Несколько интересностей и полезностей для веб-разработчика #26,      ilusha_sergeevich    ,Разработка веб-сайтов *JavaScript *,1  сентября  2014 в 15:00,https://habr.com/ru/post/234417/
78,Тонкий клиент HP в качестве домашнего роутера и файл-сервера,      wmlex    ,Настройка Linux *,22  декабря  2015 в 18:37,https://habr.com/ru/post/273547/
79,"GUI на Grafana для mgstat — утилиты мониторинга системы на InterSystems Caché, Ensemble или HealthShare",      myardyas    ,Блог компании InterSystems Системное администрирование *Серверное администрирование *Администрирование баз данных *,29  июня  2017 в 07:38,https://habr.com/ru/company/intersystems/blog/331594/
